"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)","Production and/or development and exploration workers annual wages ($1,000) (PAYANPW)","Production workers first-quarter payroll ($1,000) (PAYQ1PW)","Production and/or development and exploration workers for pay period including March 12 (EMPQ1PW)","Construction, production and/or development and exploration workers annual hours (1,000) (HOURS)","Other employees annual wages ($1,000) (PAYANOM)","Other employees first-quarter payroll ($1,000) (PAYQ1OM)","Other employees for pay period including March 12 (EMPQ1OM)","Total fringe benefits ($1,000) (BENEFIT)","Employer's cost for health insurance ($1,000) (BENHEA)","Employer's cost for defined benefit pension plans ($1,000) (BENPEB)","Employer's cost for defined contribution plans ($1,000) (BENPEC)","Employer's cost for other fringe benefits ($1,000) (BENOTH)","Total cost of supplies and/or materials ($1,000) (CSTMTOT)","Cost of materials, components, packaging and/or supplies used, minerals received, or purchased machinery installed ($1,000) (CSTMPRT)","Cost of resales ($1,000) (CSTRSL)","Cost of contract work ($1,000) (CSTCNT)","Cost of purchased fuels consumed ($1,000) (CSTFU)","Cost of purchased electricity ($1,000) (CSTELEC)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Value added ($1,000) (VALADD)","Total inventories, beginning of year ($1,000) (INVTOTB)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, beginning of year ($1,000) (INVFINB)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Materials and/or supplies, parts, fuels, etc. inventories, beginning of year ($1,000) (INVMATB)","Total inventories, end of year ($1,000) (INVTOTE)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, end of year ($1,000) (INVFINE)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Materials and/or supplies, parts, fuels, etc. inventories, end of year ($1,000) (INVMATE)","Gross value of depreciable assets (acquisition costs), beginning of year ($1,000) (ASTBGN)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, beginning of year ($1,000) (ASTBBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, beginning of year ($1,000) (ASTBMCH)","Total capital expenditures for buildings, structures, machinery, and equipment (new and used) ($1,000) (CEXTOT)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Total retirements ($1,000) (ASRET)","Retirements for buildings and other structures ($1,000) (ASRBLD)","Retirements for machinery and equipment ($1,000) (ASRMCH)","Gross value of depreciable assets (acquisition costs, end of year) ($1,000) (ASTEND)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, end of year ($1,000) (ASTEBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, end of year ($1,000) (ASTEMCH)","Total depreciation during year ($1,000) (DPRTOT)","Total rental payments or lease payments ($1,000) (RPTOT)","Rental payments or lease payments for buildings and other structures ($1,000) (RPBLD)","Rental payments or lease payments for machinery and equipment ($1,000) (RPMCH)","Total other operating expenses ($1,000) (PCHTT)","Temporary staff and leased employee expenses ($1,000) (PCHTEMP)","Expensed computer hardware and other equipment ($1,000) (PCHCMPQ)","Expensed purchases of software ($1,000) (PCHEXSO)","Data processing and other purchased computer services ($1,000) (PCHDAPR)","Communication services ($1,000) (PCHCSVC)","Repair and maintenance services of buildings and/or machinery ($1,000) (PCHRPR)","Refuse removal (including hazardous waste) services ($1,000) (PCHRFUS)","Advertising and promotional services ($1,000) (PCHADVT)","Purchased professional and technical services ($1,000) (PCHPRTE)","Taxes and license fees ($1,000) (PCHTAX)","All other operating expenses ($1,000) (PCHOEXP)","Range indicating imputed percentage of total sales, value of shipments, or revenue (RCPTOT_IMP)","Range indicating imputed percentage of total annual payroll (PAYANN_IMP)","Range indicating imputed percentage of total employees (EMP_IMP)"
"Alameda County, California","31-33","Manufacturing","2022","1,633","1,689","64,930,320","8,519,423","2,326,859","90,527","3,761,131","909,514","60,651","115,953","4,758,292","1,417,345","29,876","N","N","N","N","N","37,327,783","N","N","N","N","N","N","N","N","27,940,955","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","70% to less than 80%","30% to less than 40%","40% to less than 50%"
"Alameda County, California","311","Food Manufacturing","2022","234","244","3,623,353","558,979","141,639","8,923","316,147","78,015","6,461","12,593","242,832","63,624","2,462","N","N","N","N","N","1,839,231","N","N","N","N","N","N","N","N","1,809,268","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40% to less than 50%","20% to less than 30%","30% to less than 40%"
"Alameda County, California","312","Beverage and Tobacco Product Manufacturing","2022","93","95","1,071,613","149,009","35,407","2,847","82,378","19,658","1,468","2,588","66,631","15,749","1,379","N","N","N","N","N","674,431","N","N","N","N","N","N","N","N","405,623","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","60% to less than 70%","40% to less than 50%","40% to less than 50%"
"Alameda County, California","313","Textile Mills","2022","D","D","D","5,013","896","70","D","373","D","D","D","523","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","Less than 10%","10% to less than 20%"
"Alameda County, California","314","Textile Product Mills","2022","11","11","D","D","D","74","1,331","341","51","91","D","D","23","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","80% to less than 90%"
"Alameda County, California","315","Apparel Manufacturing","2022","24","24","D","D","D","243","D","D","200","310","D","D","43","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","40% to less than 50%"
"Alameda County, California","316","Leather and Allied Product Manufacturing","2022","D","D","D","D","D","0 to 19 employees","D","D","D","D","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Alameda County, California","321","Wood Product Manufacturing","2022","31","31","D","38,586","D","661","D","D","505","1,023","D","D","156","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","Less than 10%","10% to less than 20%"
"Alameda County, California","322","Paper Manufacturing","2022","13","14","D","D","D","500 to 999 employees","D","D","D","D","D","3,344","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Alameda County, California","323","Printing and Related Support Activities","2022","122","123","362,485","102,114","24,831","1,605","60,409","14,790","1,095","2,063","41,705","10,041","510","N","N","N","N","N","D","N","N","N","N","N","N","N","N","247,979","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","20% to less than 30%","Less than 10%","20% to less than 30%"
"Alameda County, California","324","Petroleum and Coal Products Manufacturing","2022","7","7","210,747","22,030","5,159","224","12,289","2,770","144","276","9,741","2,389","80","N","N","N","N","N","115,383","N","N","N","N","N","N","N","N","97,491","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40% to less than 50%","Less than 10%","20% to less than 30%"
"Alameda County, California","325","Chemical Manufacturing","2022","86","89","4,109,995","772,057","177,451","6,747","347,626","79,019","3,891","7,997","424,431","98,432","2,856","N","N","N","N","N","D","N","N","N","N","N","N","N","N","2,682,780","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","30% to less than 40%","20% to less than 30%","40% to less than 50%"
"Alameda County, California","326","Plastics and Rubber Products Manufacturing","2022","49","51","D","D","D","1,000 to 2,499 employees","D","D","D","D","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Alameda County, California","327","Nonmetallic Mineral Product Manufacturing","2022","54","62","655,846","111,293","28,586","1,768","72,945","18,583","1,295","2,515","38,348","10,003","473","N","N","N","N","N","284,381","N","N","N","N","N","N","N","N","380,226","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","50% to less than 60%","20% to less than 30%","40% to less than 50%"
"Alameda County, California","331","Primary Metal Manufacturing","2022","11","11","D","D","D","500 to 999 employees","53,208","13,202","D","D","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Alameda County, California","332","Fabricated Metal Product Manufacturing","2022","282","288","2,089,498","527,890","129,207","7,976","336,562","82,777","5,854","11,290","191,328","46,430","2,122","N","N","N","N","N","842,114","N","N","N","N","N","N","N","N","1,259,752","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","20% to less than 30%","20% to less than 30%","10% to less than 20%"
"Alameda County, California","333","Machinery Manufacturing","2022","100","104","2,539,791","1,440,173","579,857","7,584","222,983","59,144","2,779","5,233","1,217,190","520,713","4,805","N","N","N","N","N","1,195,234","N","N","N","N","N","N","N","N","1,444,633","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40% to less than 50%","Less than 10%","20% to less than 30%"
"Alameda County, California","334","Computer and Electronic Product Manufacturing","2022","204","212","6,868,125","1,279,679","317,189","12,853","452,485","113,101","6,902","12,713","827,194","204,088","5,951","N","N","N","N","N","3,710,495","N","N","N","N","N","N","N","N","3,218,342","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40% to less than 50%","30% to less than 40%","40% to less than 50%"
"Alameda County, California","335","Electrical Equipment, Appliance, and Component Manufacturing","2022","55","55","1,164,288","193,183","44,934","2,226","92,769","21,255","1,433","2,970","100,414","23,679","793","N","N","N","N","N","517,719","N","N","N","N","N","N","N","N","674,297","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40% to less than 50%","20% to less than 30%","40% to less than 50%"
"Alameda County, California","336","Transportation Equipment Manufacturing","2022","46","46","D","2,178,909","562,743","24,630","D","D","20,575","38,283","D","D","4,055","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","80% to less than 90%","80% to less than 90%"
"Alameda County, California","3361","Motor Vehicle Manufacturing","2022","D","D","D","D","D","10,000 to 24,999 employees","D","D","D","D","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Alameda County, California","3362","Motor Vehicle Body and Trailer Manufacturing","2022","7","7","D","D","D","100 to 249 employees","D","D","D","D","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Alameda County, California","3363","Motor Vehicle Parts Manufacturing","2022","D","D","D","D","D","500 to 999 employees","D","D","D","D","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Alameda County, California","3364","Aerospace Product and Parts Manufacturing","2022","D","D","D","D","D","250 to 499 employees","D","D","D","D","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Alameda County, California","3366","Ship and Boat Building","2022","D","D","D","D","D","250 to 499 employees","D","D","D","D","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Alameda County, California","3369","Other Transportation Equipment Manufacturing","2022","D","D","D","D","D","100 to 249 employees","D","D","D","D","D","D","35","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Alameda County, California","337","Furniture and Related Product Manufacturing","2022","61","62","290,889","78,043","17,938","1,268","37,126","9,128","818","1,581","40,917","8,810","450","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","Less than 10%","30% to less than 40%"
"Alameda County, California","339","Miscellaneous Manufacturing","2022","147","147","2,249,820","785,481","181,214","7,038","270,640","61,302","4,125","8,378","514,841","119,912","2,913","N","N","N","N","N","855,006","N","N","N","N","N","N","N","N","1,465,629","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40% to less than 50%","Less than 10%","10% to less than 20%"
"Amador County, California","31-33","Manufacturing","2022","58","58","132,110","37,952","12,406","676","23,665","9,154","382","736","14,287","3,252","294","N","N","N","N","N","81,508","N","N","N","N","N","N","N","N","55,992","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"Amador County, California","312","Beverage and Tobacco Product Manufacturing","2022","36","36","45,475","11,604","2,610","295","4,787","1,029","108","164","6,817","1,581","187","N","N","N","N","N","14,807","N","N","N","N","N","N","N","N","32,451","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40% to less than 50%","10% to less than 20%","20% to less than 30%"
"Amador County, California","327","Nonmetallic Mineral Product Manufacturing","2022","3","3","D","D","D","97","8,372","D","D","202","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","4,034","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","Less than 10%"
"Amador County, California","332","Fabricated Metal Product Manufacturing","2022","3","3","4,829","1,358","250","22","D","D","D","38","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","3,363","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40% to less than 50%","Less than 10%","Less than 10%"
"Amador County, California","334","Computer and Electronic Product Manufacturing","2022","4","4","D","D","D","20 to 99 employees","D","D","D","D","D","130","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Amador County, California","339","Miscellaneous Manufacturing","2022","4","4","2,416","795","238","17","436","122","9","12","359","116","8","N","N","N","N","N","D","N","N","N","N","N","N","N","N","1,741","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","20% to less than 30%","Less than 10%","10% to less than 20%"
"Butte County, California","31-33","Manufacturing","2022","170","170","1,519,021","242,946","57,173","4,545","130,096","30,402","2,824","5,555","112,850","26,771","1,721","N","N","N","N","N","753,401","N","N","N","N","N","N","N","N","793,716","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","20% to less than 30%","10% to less than 20%","10% to less than 20%"
"Butte County, California","311","Food Manufacturing","2022","27","27","579,994","57,852","14,231","1,066","36,426","8,866","770","1,450","21,426","5,365","296","N","N","N","N","N","348,109","N","N","N","N","N","N","N","N","242,993","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","50% to less than 60%","30% to less than 40%","30% to less than 40%"
"Butte County, California","312","Beverage and Tobacco Product Manufacturing","2022","9","9","D","D","D","1,000 to 2,499 employees","D","D","D","D","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Butte County, California","321","Wood Product Manufacturing","2022","18","18","127,703","17,465","4,248","313","14,520","3,725","272","544","2,945","523","41","N","N","N","N","N","60,025","N","N","N","N","N","N","N","N","72,104","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","Less than 10%","10% to less than 20%"
"Butte County, California","323","Printing and Related Support Activities","2022","13","13","D","2,761","706","64","1,458","357","40","68","1,303","349","24","N","N","N","N","N","3,413","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","Less than 10%","20% to less than 30%"
"Butte County, California","326","Plastics and Rubber Products Manufacturing","2022","9","9","42,398","8,696","1,415","179","6,293","D","152","263","2,403","D","27","N","N","N","N","N","23,466","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","60% to less than 70%","10% to less than 20%"
"Butte County, California","327","Nonmetallic Mineral Product Manufacturing","2022","11","11","20,239","3,426","802","64","2,703","623","54","94","723","179","10","N","N","N","N","N","8,860","N","N","N","N","N","N","N","N","11,418","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","20% to less than 30%"
"Butte County, California","332","Fabricated Metal Product Manufacturing","2022","23","23","24,005","7,820","1,973","152","4,413","1,065","103","195","3,407","908","49","N","N","N","N","N","11,292","N","N","N","N","N","N","N","N","12,775","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","20% to less than 30%","Less than 10%","20% to less than 30%"
"Butte County, California","333","Machinery Manufacturing","2022","13","13","107,578","28,088","6,543","513","13,550","3,339","330","564","14,538","3,204","183","N","N","N","N","N","61,327","N","N","N","N","N","N","N","N","52,199","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","20% to less than 30%","Less than 10%","Less than 10%"
"Butte County, California","334","Computer and Electronic Product Manufacturing","2022","4","4","D","D","D","100 to 249 employees","D","D","D","D","D","D","D","N","N","N","N","N","6,363","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Butte County, California","336","Transportation Equipment Manufacturing","2022","5","5","D","D","D","100 to 249 employees","1,847","480","49","99","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","6,219","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Butte County, California","3363","Motor Vehicle Parts Manufacturing","2022","D","D","D","D","D","20 to 99 employees","D","D","D","D","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","D","D","D"
"Butte County, California","337","Furniture and Related Product Manufacturing","2022","9","9","10,201","2,630","661","61","1,618","405","40","71","1,012","256","21","N","N","N","N","N","D","N","N","N","N","N","N","N","N","6,103","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","70% to less than 80%"
"Butte County, California","339","Miscellaneous Manufacturing","2022","21","21","84,096","14,780","3,417","322","11,121","2,556","266","538","3,659","861","56","N","N","N","N","N","11,892","N","N","N","N","N","N","N","N","77,692","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","30% to less than 40%"
"Calaveras County, California","31-33","Manufacturing","2022","47","48","77,088","17,126","4,021","357","11,404","2,665","236","438","5,722","1,356","121","N","N","N","N","N","34,583","N","N","N","N","N","N","N","N","45,643","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40% to less than 50%","20% to less than 30%","30% to less than 40%"
"Calaveras County, California","311","Food Manufacturing","2022","4","4","3,783","430","109","9","226","D","6","11","204","D","3","N","N","N","N","N","2,235","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","90% to 100%","40% to less than 50%","50% to less than 60%"
"Calaveras County, California","312","Beverage and Tobacco Product Manufacturing","2022","18","19","16,228","4,398","1,028","118","1,577","D","41","66","2,821","D","77","N","N","N","N","N","5,986","N","N","N","N","N","N","N","N","12,448","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","20% to less than 30%","Less than 10%","10% to less than 20%"
"Calaveras County, California","323","Printing and Related Support Activities","2022","3","3","816","288","66","8","D","D","D","10","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","513","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","10% to less than 20%","Less than 10%","20% to less than 30%"
"Calaveras County, California","332","Fabricated Metal Product Manufacturing","2022","8","8","22,071","5,215","1,221","100","3,872","905","79","159","1,343","316","21","N","N","N","N","N","D","N","N","N","N","N","N","N","N","13,811","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","10% to less than 20%"
"Calaveras County, California","337","Furniture and Related Product Manufacturing","2022","4","4","894","302","76","20","D","D","D","38","D","D","D","N","N","N","N","N","D","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","90% to 100%","Less than 10%","90% to 100%"
"Colusa County, California","31-33","Manufacturing","2022","25","25","471,198","33,445","9,300","691","22,197","6,006","523","855","11,248","3,294","168","N","N","N","N","N","317,205","N","N","N","N","N","N","N","N","155,471","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","Less than 10%"
"Colusa County, California","311","Food Manufacturing","2022","8","8","359,461","22,160","6,614","431","13,828","3,982","300","528","8,332","2,632","131","N","N","N","N","N","271,180","N","N","N","N","N","N","N","N","92,103","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","Less than 10%"
"Colusa County, California","332","Fabricated Metal Product Manufacturing","2022","6","6","42,022","3,519","822","68","2,554","D","58","111","965","D","10","N","N","N","N","N","D","N","N","N","N","N","N","N","N","29,841","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Less than 10%","Less than 10%","20% to less than 30%"
"Colusa County, California","336","Transportation Equipment Manufacturing","2022","3","3","2,836","D","D","10","D","D","D","17","D","D","D","N","N","N","N","N","1,338","N","N","N","N","N","N","N","N","D","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","40% to less than 50%","D","50% to less than 60%"
