"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)","Production and/or development and exploration workers annual wages ($1,000) (PAYANPW)","Production workers first-quarter payroll ($1,000) (PAYQ1PW)","Production and/or development and exploration workers for pay period including March 12 (EMPQ1PW)","Construction, production and/or development and exploration workers annual hours (1,000) (HOURS)","Other employees annual wages ($1,000) (PAYANOM)","Other employees first-quarter payroll ($1,000) (PAYQ1OM)","Other employees for pay period including March 12 (EMPQ1OM)","Total fringe benefits ($1,000) (BENEFIT)","Employer's cost for health insurance ($1,000) (BENHEA)","Employer's cost for defined benefit pension plans ($1,000) (BENPEB)","Employer's cost for defined contribution plans ($1,000) (BENPEC)","Employer's cost for other fringe benefits ($1,000) (BENOTH)","Total cost of supplies and/or materials ($1,000) (CSTMTOT)","Cost of materials, components, packaging and/or supplies used, minerals received, or purchased machinery installed ($1,000) (CSTMPRT)","Cost of resales ($1,000) (CSTRSL)","Cost of contract work ($1,000) (CSTCNT)","Cost of purchased fuels consumed ($1,000) (CSTFU)","Cost of purchased electricity ($1,000) (CSTELEC)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Value added ($1,000) (VALADD)","Total inventories, beginning of year ($1,000) (INVTOTB)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, beginning of year ($1,000) (INVFINB)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Materials and/or supplies, parts, fuels, etc. inventories, beginning of year ($1,000) (INVMATB)","Total inventories, end of year ($1,000) (INVTOTE)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, end of year ($1,000) (INVFINE)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Materials and/or supplies, parts, fuels, etc. inventories, end of year ($1,000) (INVMATE)","Gross value of depreciable assets (acquisition costs), beginning of year ($1,000) (ASTBGN)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, beginning of year ($1,000) (ASTBBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, beginning of year ($1,000) (ASTBMCH)","Total capital expenditures for buildings, structures, machinery, and equipment (new and used) ($1,000) (CEXTOT)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Total retirements ($1,000) (ASRET)","Retirements for buildings and other structures ($1,000) (ASRBLD)","Retirements for machinery and equipment ($1,000) (ASRMCH)","Gross value of depreciable assets (acquisition costs, end of year) ($1,000) (ASTEND)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, end of year ($1,000) (ASTEBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, end of year ($1,000) (ASTEMCH)","Total depreciation during year ($1,000) (DPRTOT)","Total rental payments or lease payments ($1,000) (RPTOT)","Rental payments or lease payments for buildings and other structures ($1,000) (RPBLD)","Rental payments or lease payments for machinery and equipment ($1,000) (RPMCH)","Total other operating expenses ($1,000) (PCHTT)","Temporary staff and leased employee expenses ($1,000) (PCHTEMP)","Expensed computer hardware and other equipment ($1,000) (PCHCMPQ)","Expensed purchases of software ($1,000) (PCHEXSO)","Data processing and other purchased computer services ($1,000) (PCHDAPR)","Communication services ($1,000) (PCHCSVC)","Repair and maintenance services of buildings and/or machinery ($1,000) (PCHRPR)","Refuse removal (including hazardous waste) services ($1,000) (PCHRFUS)","Advertising and promotional services ($1,000) (PCHADVT)","Purchased professional and technical services ($1,000) (PCHPRTE)","Taxes and license fees ($1,000) (PCHTAX)","All other operating expenses ($1,000) (PCHOEXP)","Range indicating imputed percentage of total sales, value of shipments, or revenue (RCPTOT_IMP)","Range indicating imputed percentage of total annual payroll (PAYANN_IMP)","Range indicating imputed percentage of total employees (EMP_IMP)"
"California","31-33","Manufacturing","2022","33,380","36,069","656,146,039","92,210,220","23,342,016","1,181,588","44,364,707","10,915,563","768,008","1,486,049","47,845,513","12,426,453","413,580","26,280,745","9,078,408","1,730,843","2,865,530","12,605,964","350,660,755","320,795,140","14,887,375","6,077,466","3,804,348","5,096,426","35,667,620","8,314,522","1,224,759","312,656,312","86,755,500","33,509,051","25,013,116","28,233,333","98,452,193","37,393,786","28,299,409","32,758,998","222,587,292","64,134,468","158,452,824","15,347,320","4,145,483","11,201,837","774,856","654,159","9,772,822","5,036,776","1,126,266","3,910,510","232,897,836","67,153,685","165,744,151","17,402,995","6,800,068","5,408,805","1,391,263","51,891,980","5,542,990","783,821","999,493","644,515","796,485","5,420,847","1,557,936","3,013,691","7,086,871","3,607,767","22,437,564","40% to less than 50%","20% to less than 30%","30% to less than 40%"
"California","311","Food Manufacturing","2022","3,567","3,975","97,522,809","9,536,266","2,289,445","174,387","6,234,741","1,482,071","132,849","261,833","3,301,525","807,374","41,538","2,795,775","1,075,497","147,935","188,532","1,383,811","62,657,059","59,072,899","1,432,309","667,623","562,373","921,855","6,387,425","1,306,047","3,793","35,658,224","10,616,216","5,182,056","1,614,498","3,819,662","11,594,586","5,924,454","1,664,574","4,005,558","32,040,790","8,764,946","23,275,844","1,905,752","430,972","1,474,780","89,410","55,151","1,330,219","899,894","203,664","696,230","33,046,648","8,992,254","24,054,394","2,242,669","893,499","638,498","255,001","6,399,778","1,155,480","59,458","68,172","44,726","62,666","950,869","355,736","440,423","380,349","298,953","2,582,946","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"California","3111","Animal Food Manufacturing","2022","128","148","6,573,124","301,713","73,880","4,254","166,853","40,686","2,810","5,866","134,860","33,194","1,444","77,130","26,230","1,492","9,344","40,064","5,154,339","4,834,766","D","D","20,496","36,991","247,535","D","0","1,445,079","408,253","163,091","14,576","230,586","474,878","188,562","15,399","270,917","1,488,182","447,147","1,041,035","69,724","23,709","46,015","4,159","752","41,104","13,184","2,114","11,070","1,544,722","468,742","1,075,980","82,481","26,162","16,189","9,973","232,817","15,266","3,098","2,666","3,420","4,301","47,231","7,087","19,902","16,192","11,637","102,017","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"California","31111","Animal Food Manufacturing","2022","128","148","6,573,124","301,713","73,880","4,254","166,853","40,686","2,810","5,866","134,860","33,194","1,444","77,130","26,230","1,492","9,344","40,064","5,154,339","4,834,766","D","D","20,496","36,991","247,535","D","0","1,445,079","408,253","163,091","14,576","230,586","474,878","188,562","15,399","270,917","1,488,182","447,147","1,041,035","69,724","23,709","46,015","4,159","752","41,104","13,184","2,114","11,070","1,544,722","468,742","1,075,980","82,481","26,162","16,189","9,973","232,817","15,266","3,098","2,666","3,420","4,301","47,231","7,087","19,902","16,192","11,637","102,017","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"California","311111","Dog and Cat Food Manufacturing","2022","48","50","1,139,043","117,431","28,807","1,604","74,002","18,280","1,182","2,566","43,429","10,527","422","25,723","7,783","D","D","15,054","686,582","649,174","D","D","6,112","13,570","83,239","D","0","456,869","106,608","64,127","4,720","37,761","129,663","67,923","5,332","56,408","565,127","183,557","381,570","34,073","12,996","21,077","276","349","20,452","3,686","D","D","595,514","196,008","399,506","35,554","10,154","7,685","2,469","77,969","5,568","1,529","667","358","902","14,551","3,016","14,852","3,345","3,688","29,493","40% to less than 50%","20% to less than 30%","20% to less than 30%"
"California","311119","Other Animal Food Manufacturing","2022","81","98","5,434,081","184,282","45,073","2,650","92,851","22,406","1,628","3,300","91,431","22,667","1,022","51,407","18,447","D","D","25,010","4,467,757","4,185,592","D","D","14,384","23,421","164,296","D","0","988,210","301,645","98,964","9,856","192,825","345,215","120,639","10,067","214,509","923,055","263,590","659,465","35,651","10,713","24,938","3,883","403","20,652","9,498","D","D","949,208","272,734","676,474","46,927","16,008","8,504","7,504","154,848","9,698","1,569","1,999","3,062","3,399","32,680","4,071","5,050","12,847","7,949","72,524","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"California","3112","Grain and Oilseed Milling","2022","103","110","5,074,582","259,294","66,207","4,358","169,659","42,487","3,348","6,295","89,635","23,720","1,010","80,086","34,301","6,242","7,630","31,913","4,134,816","3,985,966","45,680","29,992","17,217","55,961","337,111","10,850","D","1,019,040","538,879","153,487","91,795","293,597","654,646","200,653","123,903","330,090","1,330,598","396,230","934,368","92,770","65,188","27,582","7,780","733","19,069","87,629","26,499","61,130","1,335,739","434,919","900,820","69,732","28,212","18,803","9,409","201,662","16,957","2,979","2,161","1,818","2,036","30,710","7,903","27,073","15,972","11,447","82,606","10% to less than 20%","30% to less than 40%","30% to less than 40%"
"California","31121","Flour Milling and Malt Manufacturing","2022","45","51","2,209,393","150,558","39,173","2,512","89,895","22,847","1,827","3,448","60,663","16,326","685","42,907","18,955","1,696","5,456","16,800","1,642,788","1,527,981","D","23,415","D","39,602","235,893","10,850","D","605,269","314,453","59,885","23,404","231,164","364,395","73,932","48,021","242,442","816,385","238,772","577,613","D","D","12,591","D","448","D","D","D","D","800,716","249,030","551,686","37,432","15,541","8,796","6,745","100,562","11,363","2,505","1,347","1,193","1,030","10,544","2,589","24,677","9,745","7,111","28,458","10% to less than 20%","20% to less than 30%","20% to less than 30%"
"California","311211","Flour Milling","2022","26","30","D","D","D","500 to 999 employees","D","D","D","D","21,479","5,353","214","D","6,198","505","2,018","D","D","D","D","D","D","24,713","164,782","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","D","151","D","D","D","23,479","422,273","133,158","289,115","23,922","5,837","2,105","3,732","D","2,412","220","D","D","D","D","558","D","2,077","3,198","D","D","D","D"
"California","311212","Rice Milling","2022","D","D","1,277,309","96,371","25,790","1,676","57,187","14,817","1,205","2,348","39,184","10,973","471","27,980","12,757","1,191","3,438","10,594","999,213","940,826","21,043","D","D","D","D","D","0","310,328","258,489","49,634","13,993","194,862","290,403","57,570","38,289","194,544","388,395","119,406","268,989","D","D","D","2,978","297","D","D","D","D","D","D","D","D","9,704","6,691","3,013","78,122","8,951","2,285","D","D","D","6,193","2,031","D","7,668","3,913","20,119","Less than 10%","10% to less than 20%","20% to less than 30%"
