"Geographic Area Name (NAME)","2022 NAICS code (NAICS2022)","Meaning of NAICS code (NAICS2022_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)","Production and/or development and exploration workers annual wages ($1,000) (PAYANPW)","Production workers first-quarter payroll ($1,000) (PAYQ1PW)","Production and/or development and exploration workers for pay period including March 12 (EMPQ1PW)","Construction, production and/or development and exploration workers annual hours (1,000) (HOURS)","Other employees annual wages ($1,000) (PAYANOM)","Other employees first-quarter payroll ($1,000) (PAYQ1OM)","Other employees for pay period including March 12 (EMPQ1OM)","Total fringe benefits ($1,000) (BENEFIT)","Employer's cost for health insurance ($1,000) (BENHEA)","Employer's cost for defined benefit pension plans ($1,000) (BENPEB)","Employer's cost for defined contribution plans ($1,000) (BENPEC)","Employer's cost for other fringe benefits ($1,000) (BENOTH)","Total cost of supplies and/or materials ($1,000) (CSTMTOT)","Cost of materials, components, packaging and/or supplies used, minerals received, or purchased machinery installed ($1,000) (CSTMPRT)","Cost of resales ($1,000) (CSTRSL)","Cost of contract work ($1,000) (CSTCNT)","Cost of purchased fuels consumed ($1,000) (CSTFU)","Cost of purchased electricity ($1,000) (CSTELEC)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Value added ($1,000) (VALADD)","Total inventories, beginning of year ($1,000) (INVTOTB)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, beginning of year ($1,000) (INVFINB)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Materials and/or supplies, parts, fuels, etc. inventories, beginning of year ($1,000) (INVMATB)","Total inventories, end of year ($1,000) (INVTOTE)","Finished goods or minerals products, crude petroleum, and natural gas liquids inventories, end of year ($1,000) (INVFINE)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Materials and/or supplies, parts, fuels, etc. inventories, end of year ($1,000) (INVMATE)","Gross value of depreciable assets (acquisition costs), beginning of year ($1,000) (ASTBGN)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, beginning of year ($1,000) (ASTBBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, beginning of year ($1,000) (ASTBMCH)","Total capital expenditures for buildings, structures, machinery, and equipment (new and used) ($1,000) (CEXTOT)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Total retirements ($1,000) (ASRET)","Retirements for buildings and other structures ($1,000) (ASRBLD)","Retirements for machinery and equipment ($1,000) (ASRMCH)","Gross value of depreciable assets (acquisition costs, end of year) ($1,000) (ASTEND)","Gross value of depreciable assets (acquisition costs) for buildings and other structures, end of year ($1,000) (ASTEBLD)","Gross value of depreciable assets (acquisition costs) for machinery and equipment, end of year ($1,000) (ASTEMCH)","Total depreciation during year ($1,000) (DPRTOT)","Total rental payments or lease payments ($1,000) (RPTOT)","Rental payments or lease payments for buildings and other structures ($1,000) (RPBLD)","Rental payments or lease payments for machinery and equipment ($1,000) (RPMCH)","Total other operating expenses ($1,000) (PCHTT)","Temporary staff and leased employee expenses ($1,000) (PCHTEMP)","Expensed computer hardware and other equipment ($1,000) (PCHCMPQ)","Expensed purchases of software ($1,000) (PCHEXSO)","Data processing and other purchased computer services ($1,000) (PCHDAPR)","Communication services ($1,000) (PCHCSVC)","Repair and maintenance services of buildings and/or machinery ($1,000) (PCHRPR)","Refuse removal (including hazardous waste) services ($1,000) (PCHRFUS)","Advertising and promotional services ($1,000) (PCHADVT)","Purchased professional and technical services ($1,000) (PCHPRTE)","Taxes and license fees ($1,000) (PCHTAX)","All other operating expenses ($1,000) (PCHOEXP)","Range indicating imputed percentage of total sales, value of shipments, or revenue (RCPTOT_IMP)","Range indicating imputed percentage of total annual payroll (PAYANN_IMP)","Range indicating imputed percentage of total employees (EMP_IMP)"
"United States","31-33","Manufacturing","2022","240,644","286,626","7,048,663,670","812,731,156","201,632,663","12,171,365","475,964,699","116,150,112","8,674,072","16,886,652","336,766,457","85,482,551","3,497,293","233,265,580","93,502,975","13,462,365","25,946,452","100,353,788","4,075,986,813","3,772,629,064","141,413,952","54,472,432","48,044,551","59,426,814","805,450,112","113,049,671","33,140,365","3,034,384,429","812,322,481","283,606,276","220,223,684","308,492,521","916,172,437","320,671,836","244,865,696","350,634,905","2,855,865,696","711,428,367","2,144,437,329","190,882,032","43,240,211","147,641,821","7,564,358","6,980,154","133,097,309","60,043,413","11,417,130","48,626,283","2,986,704,315","743,251,448","2,243,452,867","217,577,049","45,188,183","31,565,596","13,622,587","437,150,469","43,988,096","6,846,246","6,612,336","6,216,698","6,191,081","67,589,949","17,434,029","15,796,202","38,271,130","23,575,293","204,629,409","30% to less than 40%","20% to less than 30%","30% to less than 40%"
"United States","311","Food Manufacturing","2022","24,888","29,780","1,039,160,583","88,540,089","21,229,975","1,646,880","62,397,956","14,854,417","1,308,930","2,589,595","26,142,133","6,375,558","337,950","24,166,279","10,152,563","1,072,196","1,971,171","10,970,349","665,678,415","636,287,126","14,264,928","3,029,168","5,068,364","7,028,829","87,048,357","5,056,032","246,700","379,609,606","69,020,607","33,832,881","8,059,371","27,128,355","78,969,282","39,702,721","8,316,969","30,949,592","330,103,777","95,423,041","234,680,736","20,812,892","5,102,808","15,710,084","587,009","424,218","14,698,857","5,858,841","1,295,544","4,563,297","345,057,828","99,230,305","245,827,523","23,360,184","5,174,895","3,220,204","1,954,691","51,689,297","7,175,727","445,631","327,019","303,128","456,737","9,514,931","3,527,261","3,138,526","3,170,461","2,098,331","21,531,545","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"United States","3111","Animal Food Manufacturing","2022","1,241","1,916","74,730,488","3,970,074","970,540","61,902","2,525,030","610,150","45,294","94,706","1,445,044","360,390","16,608","1,076,100","467,912","47,166","108,409","452,613","50,798,678","48,699,984","1,257,670","144,233","268,748","428,043","5,316,884","1,749","0","24,209,153","4,479,009","1,887,958","233,499","2,357,552","5,194,802","2,151,464","247,336","2,796,002","22,734,523","6,953,272","15,781,251","1,519,538","447,729","1,071,809","72,274","36,959","962,576","352,186","75,826","276,360","23,901,875","7,325,175","16,576,700","1,480,235","253,524","136,765","116,759","3,210,214","229,259","37,756","16,897","25,161","31,200","618,967","168,497","153,017","167,952","139,967","1,621,541","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","31111","Animal Food Manufacturing","2022","1,241","1,916","74,730,488","3,970,074","970,540","61,902","2,525,030","610,150","45,294","94,706","1,445,044","360,390","16,608","1,076,100","467,912","47,166","108,409","452,613","50,798,678","48,699,984","1,257,670","144,233","268,748","428,043","5,316,884","1,749","0","24,209,153","4,479,009","1,887,958","233,499","2,357,552","5,194,802","2,151,464","247,336","2,796,002","22,734,523","6,953,272","15,781,251","1,519,538","447,729","1,071,809","72,274","36,959","962,576","352,186","75,826","276,360","23,901,875","7,325,175","16,576,700","1,480,235","253,524","136,765","116,759","3,210,214","229,259","37,756","16,897","25,161","31,200","618,967","168,497","153,017","167,952","139,967","1,621,541","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","311111","Dog and Cat Food Manufacturing","2022","358","456","27,453,629","2,024,621","496,156","30,337","1,371,639","330,820","23,652","51,389","652,982","165,336","6,685","536,802","241,579","27,863","52,534","214,826","14,077,744","13,429,256","376,940","48,600","96,526","126,422","1,473,723","D","0","13,572,379","1,824,426","922,867","84,480","817,079","2,244,502","1,103,690","100,151","1,040,661","13,699,400","4,207,889","9,491,511","957,600","276,657","680,943","10,365","23,378","647,200","233,344","36,356","196,988","14,423,656","4,448,190","9,975,466","863,521","94,701","50,567","44,134","1,697,999","105,520","14,159","7,960","11,525","11,936","331,567","96,623","112,850","84,162","55,207","866,490","50% to less than 60%","40% to less than 50%","30% to less than 40%"
"United States","311119","Other Animal Food Manufacturing","2022","890","1,460","47,276,859","1,945,453","474,384","31,565","1,153,391","279,330","21,642","43,317","792,062","195,054","9,923","539,298","226,333","19,303","55,875","237,787","36,720,934","35,270,728","880,730","95,633","172,222","301,621","3,843,161","D","0","10,636,774","2,654,583","965,091","149,019","1,540,473","2,950,300","1,047,774","147,185","1,755,341","9,035,123","2,745,383","6,289,740","561,938","171,072","390,866","61,909","13,581","315,376","118,842","39,470","79,372","9,478,219","2,876,985","6,601,234","616,714","158,823","86,198","72,625","1,512,215","123,739","23,597","8,937","13,636","19,264","287,400","71,874","40,167","83,790","84,760","755,051","20% to less than 30%","20% to less than 30%","20% to less than 30%"
"United States","3112","Grain and Oilseed Milling","2022","628","981","130,432,621","4,096,994","1,007,741","58,358","2,660,866","645,221","45,108","92,913","1,436,128","362,520","13,250","1,214,910","495,311","88,680","116,383","514,536","98,584,305","90,960,984","5,073,970","322,274","1,129,173","1,097,904","15,881,210","D","D","32,910,865","7,678,556","3,184,276","923,039","3,571,241","9,168,340","4,031,082","1,138,782","3,998,476","39,389,012","9,854,052","29,534,960","2,312,150","600,420","1,711,730","87,031","42,134","1,582,565","430,741","91,768","338,973","41,270,421","10,362,704","30,907,717","2,542,297","317,704","143,067","174,637","3,526,390","202,194","35,314","13,055","25,870","27,588","882,416","312,488","91,203","197,425","170,982","1,567,855","30% to less than 40%","20% to less than 30%","20% to less than 30%"
"United States","31121","Flour Milling and Malt Manufacturing","2022","339","516","24,076,040","1,335,621","327,731","21,720","897,764","218,218","16,951","34,314","437,857","109,513","4,769","363,079","159,578","16,030","37,635","149,836","16,493,649","15,385,813","D","D","120,571","319,795","4,089,449","16,636","D","7,770,074","2,130,316","666,068","178,099","1,286,149","2,510,698","820,104","211,746","1,478,848","9,502,066","2,673,732","6,828,334","422,369","89,300","333,069","15,735","16,174","301,160","231,444","71,168","160,276","9,692,991","2,691,864","7,001,127","528,705","97,641","50,878","46,763","1,008,140","70,936","18,206","4,391","10,498","10,952","194,961","39,519","42,398","50,151","49,732","516,396","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","311211","Flour Milling","2022","238","374","18,525,930","958,808","236,579","15,032","646,419","157,637","11,770","24,007","312,389","78,942","3,262","254,628","110,313","8,047","26,680","109,588","12,562,947","11,711,439","482,488","53,650","76,222","239,148","3,003,390","D","D","6,093,581","1,277,967","395,481","90,538","791,948","1,570,112","509,370","107,247","953,495","6,996,747","1,902,772","5,093,975","336,703","72,561","264,142","6,882","15,439","241,821","187,663","60,493","127,170","7,145,787","1,914,840","5,230,947","385,373","73,461","37,053","36,408","652,002","40,870","11,501","2,418","8,166","8,239","131,007","16,456","14,172","33,103","31,817","354,253","30% to less than 40%","30% to less than 40%","30% to less than 40%"
"United States","311212","Rice Milling","2022","67","93","4,554,571","315,530","76,375","5,827","214,825","52,253","4,623","9,144","100,705","24,122","1,204","86,572","38,915","7,448","6,882","33,327","3,277,387","3,066,637","92,251","D","D","63,364","904,245","D","0","1,304,226","668,272","211,338","63,418","393,516","741,536","228,728","73,070","439,738","1,807,538","550,775","1,256,763","66,829","10,352","56,477","8,714","694","47,069","42,149","D","D","1,832,218","551,348","1,280,870","102,145","18,274","8,544","9,730","296,204","28,710","5,875","1,823","2,016","2,127","57,751","10,991","27,189","13,458","13,123","133,141","20% to less than 30%","30% to less than 40%","30% to less than 40%"
