observation_date,SMU06000003133500001A
1990-01-01,50.3
1991-01-01,47.0
1992-01-01,42.0
1993-01-01,38.7
1994-01-01,37.4
1995-01-01,37.4
1996-01-01,38.1
1997-01-01,39.7
1998-01-01,41.9
1999-01-01,42.2
2000-01-01,44.2
2001-01-01,44.5
2002-01-01,39.9
2003-01-01,35.6
2004-01-01,33.7
2005-01-01,33.0
2006-01-01,32.0
2007-01-01,32.1
2008-01-01,32.5
2009-01-01,29.0
2010-01-01,28.1
2011-01-01,28.8
2012-01-01,29.1
2013-01-01,29.1
2014-01-01,29.7
2015-01-01,30.6
2016-01-01,31.2
2017-01-01,32.1
2018-01-01,33.0
2019-01-01,32.1
2020-01-01,28.6
2021-01-01,28.9
2022-01-01,31.7
2023-01-01,33.0
2024-01-01,31.8
