observation_date,CAELCEQAPMANRGSP
1997-01-01,3577.3
1998-01-01,3098.8
1999-01-01,3912.0
2000-01-01,4635.1
2001-01-01,3904.7
2002-01-01,3937.1
2003-01-01,3714.0
2004-01-01,3674.6
2005-01-01,3708.8
2006-01-01,4057.0
2007-01-01,4010.1
2008-01-01,4271.8
2009-01-01,3302.5
2010-01-01,3620.6
2011-01-01,3545.8
2012-01-01,3170.5
2013-01-01,3703.8
2014-01-01,3513.7
2015-01-01,4259.9
2016-01-01,4110.8
2017-01-01,4178.2
2018-01-01,4775.0
2019-01-01,4667.3
2020-01-01,4123.4
2021-01-01,4124.4
2022-01-01,4167.4
2023-01-01,3750.8
