observation_date,SMU06000003133411101A
1990-01-01,64.0
1991-01-01,58.2
1992-01-01,50.7
1993-01-01,46.2
1994-01-01,41.1
1995-01-01,41.9
1996-01-01,43.9
1997-01-01,47.2
1998-01-01,49.8
1999-01-01,51.2
2000-01-01,53.7
2001-01-01,54.8
2002-01-01,46.9
2003-01-01,41.0
2004-01-01,37.6
2005-01-01,35.9
2006-01-01,34.0
2007-01-01,35.0
2008-01-01,36.7
2009-01-01,35.1
2010-01-01,34.2
2011-01-01,34.2
2012-01-01,34.0
2013-01-01,34.5
2014-01-01,33.3
2015-01-01,32.6
2016-01-01,33.0
2017-01-01,29.2
2018-01-01,29.3
2019-01-01,29.3
2020-01-01,28.9
2021-01-01,27.3
2022-01-01,27.8
2023-01-01,26.2
2024-01-01,23.9
