observation_date,CACPUELCPMANNGSP
1997-01-01,54333.7
1998-01-01,54609.6
1999-01-01,61981.0
2000-01-01,80712.1
2001-01-01,53633.5
2002-01-01,49905.5
2003-01-01,53187.4
2004-01-01,50654.9
2005-01-01,59596.4
2006-01-01,58519.9
2007-01-01,61972.4
2008-01-01,60211.8
2009-01-01,58655.3
2010-01-01,60329.2
2011-01-01,65448.3
2012-01-01,73249.7
2013-01-01,74459.7
2014-01-01,78502.8
2015-01-01,83962.9
2016-01-01,87220.9
2017-01-01,96512.2
2018-01-01,101536.5
2019-01-01,106764.7
2020-01-01,117873.5
2021-01-01,132740.1
2022-01-01,133827.0
2023-01-01,142372.6
