observation_date,SMU06000003133200001A
1990-01-01,154.8
1991-01-01,149.2
1992-01-01,140.2
1993-01-01,135.8
1994-01-01,139.7
1995-01-01,149.2
1996-01-01,158.1
1997-01-01,166.9
1998-01-01,170.7
1999-01-01,167.9
2000-01-01,173.9
2001-01-01,164.5
2002-01-01,147.1
2003-01-01,139.4
2004-01-01,140.9
2005-01-01,141.0
2006-01-01,142.1
2007-01-01,142.5
2008-01-01,140.5
2009-01-01,119.5
2010-01-01,116.2
2011-01-01,120.6
2012-01-01,124.6
2013-01-01,126.8
2014-01-01,130.5
2015-01-01,132.8
2016-01-01,130.7
2017-01-01,131.3
2018-01-01,133.1
2019-01-01,132.9
2020-01-01,124.1
2021-01-01,119.2
2022-01-01,121.9
2023-01-01,120.6
2024-01-01,119.4
