observation_date,SMU06000003133700001A
1990-01-01,73.9
1991-01-01,64.5
1992-01-01,60.0
1993-01-01,57.2
1994-01-01,58.6
1995-01-01,59.2
1996-01-01,62.1
1997-01-01,67.0
1998-01-01,71.8
1999-01-01,75.3
2000-01-01,77.0
2001-01-01,73.6
2002-01-01,68.4
2003-01-01,63.5
2004-01-01,62.2
2005-01-01,60.2
2006-01-01,57.2
2007-01-01,51.7
2008-01-01,45.5
2009-01-01,34.9
2010-01-01,31.6
2011-01-01,31.4
2012-01-01,31.4
2013-01-01,32.5
2014-01-01,34.1
2015-01-01,35.1
2016-01-01,36.0
2017-01-01,35.8
2018-01-01,35.1
2019-01-01,33.4
2020-01-01,30.3
2021-01-01,30.3
2022-01-01,30.8
2023-01-01,28.8
2024-01-01,27.2
