observation_date,CANMMPMANRGSP
1997-01-01,4701.2
1998-01-01,4767.3
1999-01-01,4915.4
2000-01-01,4912.7
2001-01-01,5136.7
2002-01-01,5172.6
2003-01-01,5322.8
2004-01-01,6084.9
2005-01-01,6133.7
2006-01-01,5479.6
2007-01-01,5328.4
2008-01-01,4940.0
2009-01-01,3812.1
2010-01-01,3840.8
2011-01-01,3785.1
2012-01-01,4024.4
2013-01-01,4078.2
2014-01-01,4232.1
2015-01-01,4112.2
2016-01-01,4138.1
2017-01-01,4523.5
2018-01-01,4644.9
2019-01-01,5052.5
2020-01-01,4772.5
2021-01-01,4850.9
2022-01-01,4563.9
2023-01-01,3981.1
