observation_date,SMU06000003133610001A
1990-01-01,7.1
1991-01-01,7.0
1992-01-01,7.8
1993-01-01,6.6
1994-01-01,6.8
1995-01-01,7.3
1996-01-01,7.5
1997-01-01,7.0
1998-01-01,7.2
1999-01-01,7.7
2000-01-01,8.0
2001-01-01,8.0
2002-01-01,8.5
2003-01-01,8.3
2004-01-01,8.5
2005-01-01,9.1
2006-01-01,9.1
2007-01-01,9.1
2008-01-01,8.8
2009-01-01,8.2
2010-01-01,5.1
2011-01-01,4.2
2012-01-01,4.7
2013-01-01,5.0
2014-01-01,6.5
2015-01-01,8.4
2016-01-01,9.7
2017-01-01,13.9
2018-01-01,19.0
2019-01-01,18.1
2020-01-01,18.9
2021-01-01,27.0
2022-01-01,31.9
2023-01-01,32.5
2024-01-01,28.7
