observation_date,SMU06000003133100001A
1990-01-01,35.3
1991-01-01,32.6
1992-01-01,29.1
1993-01-01,28.0
1994-01-01,27.9
1995-01-01,28.3
1996-01-01,29.2
1997-01-01,29.8
1998-01-01,31.1
1999-01-01,30.5
2000-01-01,31.2
2001-01-01,29.3
2002-01-01,27.1
2003-01-01,25.4
2004-01-01,25.4
2005-01-01,25.3
2006-01-01,25.1
2007-01-01,24.8
2008-01-01,24.1
2009-01-01,19.8
2010-01-01,19.2
2011-01-01,19.9
2012-01-01,20.0
2013-01-01,19.2
2014-01-01,18.8
2015-01-01,18.3
2016-01-01,17.4
2017-01-01,17.3
2018-01-01,17.1
2019-01-01,17.0
2020-01-01,15.9
2021-01-01,15.4
2022-01-01,15.3
2023-01-01,14.6
2024-01-01,14.1
