observation_date,CAPRIMETMANRGSP
1997-01-01,1807.3
1998-01-01,2069.9
1999-01-01,2398.8
2000-01-01,2629.7
2001-01-01,2320.8
2002-01-01,2207.5
2003-01-01,2389.7
2004-01-01,2246.4
2005-01-01,2123.4
2006-01-01,1874.8
2007-01-01,1237.7
2008-01-01,1519.1
2009-01-01,1632.7
2010-01-01,1346.7
2011-01-01,1535.1
2012-01-01,1765.1
2013-01-01,1855.4
2014-01-01,1691.9
2015-01-01,1895.7
2016-01-01,2133.6
2017-01-01,2127.4
2018-01-01,2113.6
2019-01-01,2544.9
2020-01-01,2558.4
2021-01-01,2533.4
2022-01-01,2616.5
2023-01-01,2935.3
