observation_date,CAOTRANEQMANRGSP
1997-01-01,14660.6
1998-01-01,17333.5
1999-01-01,16621.7
2000-01-01,9458.8
2001-01-01,14147.2
2002-01-01,13024.2
2003-01-01,14579.8
2004-01-01,13623.7
2005-01-01,15773.5
2006-01-01,15843.9
2007-01-01,18011.3
2008-01-01,18704.6
2009-01-01,19553.4
2010-01-01,17111.4
2011-01-01,19001.8
2012-01-01,14681.4
2013-01-01,15888.4
2014-01-01,15965.0
2015-01-01,17475.2
2016-01-01,17767.5
2017-01-01,17719.8
2018-01-01,20036.9
2019-01-01,18784.2
2020-01-01,17199.6
2021-01-01,17436.0
2022-01-01,18623.0
2023-01-01,20767.6
