observation_date,SMU06000003132100001A
1990-01-01,46.2
1991-01-01,40.7
1992-01-01,37.2
1993-01-01,35.6
1994-01-01,37.7
1995-01-01,38.4
1996-01-01,39.1
1997-01-01,41.1
1998-01-01,42.9
1999-01-01,44.1
2000-01-01,44.6
2001-01-01,42.6
2002-01-01,40.5
2003-01-01,39.5
2004-01-01,39.4
2005-01-01,39.1
2006-01-01,37.6
2007-01-01,33.3
2008-01-01,28.9
2009-01-01,22.6
2010-01-01,21.0
2011-01-01,19.9
2012-01-01,20.0
2013-01-01,21.2
2014-01-01,22.2
2015-01-01,22.8
2016-01-01,23.8
2017-01-01,24.1
2018-01-01,25.4
2019-01-01,26.1
2020-01-01,25.6
2021-01-01,26.8
2022-01-01,27.5
2023-01-01,26.5
2024-01-01,25.3
