observation_date,CAWPMANRGSP
1997-01-01,2412.8
1998-01-01,2249.9
1999-01-01,2275.9
2000-01-01,2235.6
2001-01-01,2123.5
2002-01-01,2287.8
2003-01-01,2315.0
2004-01-01,2084.7
2005-01-01,2298.1
2006-01-01,2197.8
2007-01-01,2271.5
2008-01-01,2114.8
2009-01-01,1697.1
2010-01-01,1797.3
2011-01-01,2049.1
2012-01-01,1835.9
2013-01-01,1961.7
2014-01-01,1828.2
2015-01-01,1926.6
2016-01-01,2087.0
2017-01-01,2229.7
2018-01-01,2121.0
2019-01-01,2266.2
2020-01-01,2240.0
2021-01-01,2310.9
2022-01-01,2286.3
2023-01-01,2424.5
