observation_date,CACHEMMANRGSP
1997-01-01,18181.9
1998-01-01,18308.9
1999-01-01,20374.5
2000-01-01,26156.8
2001-01-01,26847.8
2002-01-01,20496.9
2003-01-01,28032.6
2004-01-01,34841.5
2005-01-01,33967.7
2006-01-01,36991.4
2007-01-01,41064.6
2008-01-01,36122.6
2009-01-01,42081.9
2010-01-01,42579.5
2011-01-01,37637.9
2012-01-01,44351.5
2013-01-01,52164.4
2014-01-01,50382.5
2015-01-01,50068.0
2016-01-01,55291.1
2017-01-01,58791.1
2018-01-01,66012.2
2019-01-01,69720.1
2020-01-01,69492.7
2021-01-01,67797.1
2022-01-01,65509.7
2023-01-01,63743.9
