observation_date,CAFOODBEVTOBMANRGSP
1997-01-01,21348.1
1998-01-01,21203.9
1999-01-01,22080.6
2000-01-01,21642.4
2001-01-01,22210.5
2002-01-01,21993.3
2003-01-01,22679.2
2004-01-01,22560.4
2005-01-01,22825.3
2006-01-01,26679.6
2007-01-01,28136.2
2008-01-01,26603.0
2009-01-01,27698.2
2010-01-01,24434.5
2011-01-01,24088.4
2012-01-01,24954.6
2013-01-01,26031.2
2014-01-01,27342.4
2015-01-01,29902.5
2016-01-01,28190.1
2017-01-01,29582.1
2018-01-01,28407.3
2019-01-01,27370.4
2020-01-01,26278.0
2021-01-01,29001.8
2022-01-01,29568.4
2023-01-01,28866.0
