observation_date,CAAPPLEATHMANRGSP
1997-01-01,3686.3
1998-01-01,3730.2
1999-01-01,3930.0
2000-01-01,4067.5
2001-01-01,3763.2
2002-01-01,3591.1
2003-01-01,3408.5
2004-01-01,3473.2
2005-01-01,3533.4
2006-01-01,3892.1
2007-01-01,3784.9
2008-01-01,3498.1
2009-01-01,2982.4
2010-01-01,3448.1
2011-01-01,3482.1
2012-01-01,3569.1
2013-01-01,3759.2
2014-01-01,3328.5
2015-01-01,3127.5
2016-01-01,3305.3
2017-01-01,3134.5
2018-01-01,3090.9
2019-01-01,3376.4
2020-01-01,3411.8
2021-01-01,4005.4
2022-01-01,4244.6
2023-01-01,4019.9
