observation_date,CAPLASRUBMANRGSP
1997-01-01,4571.6
1998-01-01,4726.7
1999-01-01,5225.3
2000-01-01,5321.8
2001-01-01,4672.8
2002-01-01,4695.9
2003-01-01,5045.1
2004-01-01,5686.6
2005-01-01,5466.3
2006-01-01,5280.3
2007-01-01,5371.5
2008-01-01,4805.5
2009-01-01,4513.3
2010-01-01,4667.7
2011-01-01,4339.8
2012-01-01,4434.0
2013-01-01,4259.9
2014-01-01,4209.6
2015-01-01,4800.1
2016-01-01,4579.9
2017-01-01,4472.5
2018-01-01,4785.9
2019-01-01,4891.4
2020-01-01,4905.6
2021-01-01,4904.5
2022-01-01,4332.5
2023-01-01,4023.8
