observation_date,CAPRNTRGSP
1997-01-01,3738.7
1998-01-01,3848.8
1999-01-01,4000.4
2000-01-01,4101.5
2001-01-01,4027.1
2002-01-01,4164.8
2003-01-01,4153.9
2004-01-01,4163.4
2005-01-01,4037.2
2006-01-01,4010.4
2007-01-01,4279.4
2008-01-01,3818.9
2009-01-01,3354.0
2010-01-01,3492.0
2011-01-01,3448.8
2012-01-01,3299.5
2013-01-01,3582.8
2014-01-01,3512.8
2015-01-01,3512.0
2016-01-01,3549.2
2017-01-01,3536.7
2018-01-01,3693.9
2019-01-01,3600.6
2020-01-01,3059.6
2021-01-01,3195.9
2022-01-01,2861.5
2023-01-01,2498.5
