observation_date,CASECCOMINVRGSP
1997-01-01,17717.8
1998-01-01,19051.8
1999-01-01,21488.3
2000-01-01,28652.8
2001-01-01,43919.5
2002-01-01,37077.8
2003-01-01,32069.7
2004-01-01,31996.1
2005-01-01,37511.3
2006-01-01,40474.5
2007-01-01,31938.2
2008-01-01,15150.8
2009-01-01,37633.2
2010-01-01,33671.9
2011-01-01,25054.7
2012-01-01,34463.0
2013-01-01,33112.8
2014-01-01,26093.0
2015-01-01,25849.4
2016-01-01,30361.3
2017-01-01,34300.6
2018-01-01,32679.3
2019-01-01,30319.7
2020-01-01,33759.5
2021-01-01,33134.7
2022-01-01,37556.9
2023-01-01,39473.0
