observation_date,NetImports(GwH),StateGeneration(GwH)
2001-01-01,64925.98,202488.22
2002-01-01,87593.84346,186822.8069
2003-01-01,85400.58,194293.5404
2004-01-01,91288.5172,198795.8605
2005-01-01,87081.078,202079.3024
2006-01-01,79714.353,218603.8315
2007-01-01,92216.574,212692.6253
2008-01-01,98071.693,209367.1142
2009-01-01,90847.009,207333.3233
2010-01-01,85392.19811,205666.5046
2011-01-01,92427.44102,201371.1245
2012-01-01,102534.6161,199649.5896
2013-01-01,96664.00806,199615.8894
2014-01-01,96646.25535,199501.173
2015-01-01,99019.25941,196858.598
2016-01-01,92326.16207,198471.2746
2017-01-01,85703.77211,206411.2009
2018-01-01,90647.83212,195234.4327
2019-01-01,77237.11345,200945.4876
2020-01-01,81855.70032,192332.2177
2021-01-01,84135.79249,196605.1768
2022-01-01,84197.59678,202357.3135
2023-01-01,65517.58386,215622.7289
