observation_date,CAMANRGSP(Millions of Dollars)
1997-01-01,103709.9
1998-01-01,117437.1
1999-01-01,139250.6
2000-01-01,172832.3
2001-01-01,160137.5
2002-01-01,152127.3
2003-01-01,172621.5
2004-01-01,183324.2
2005-01-01,204736.8
2006-01-01,218597.6
2007-01-01,234812.7
2008-01-01,257048.9
2009-01-01,241079.0
2010-01-01,232299.0
2011-01-01,223855.8
2012-01-01,231584.9
2013-01-01,245472.4
2014-01-01,256224.4
2015-01-01,265539.5
2016-01-01,273826.9
2017-01-01,294636.7
2018-01-01,319633.7
2019-01-01,333427.4
2020-01-01,324067.1
2021-01-01,360449.1
2022-01-01,351070.4
2023-01-01,351559.2
2024-01-01,347527.1
