observation_date,CACORPINCTX($)
1942-01-01,34389000
1943-01-01,
1944-01-01,67671000
1945-01-01,
1946-01-01,55783000
1947-01-01,
1948-01-01,69181000
1949-01-01,
1950-01-01,74546000
1951-01-01,98428000
1952-01-01,119386000
1953-01-01,119107000
1954-01-01,125841000
1955-01-01,133412000
1956-01-01,157340000
1957-01-01,167339000
1958-01-01,172119000
1959-01-01,175405000
1960-01-01,240064000
1961-01-01,273361000
1962-01-01,290797000
1963-01-01,311275000
1964-01-01,404757000
1965-01-01,416447000
1966-01-01,433825000
1967-01-01,452574000
1968-01-01,578812000
1969-01-01,592493000
1970-01-01,587577000
1971-01-01,533121000
1972-01-01,661071000
1973-01-01,866347000
1974-01-01,1046031000
1975-01-01,1252633000
1976-01-01,1284068000
1977-01-01,1641595000
1978-01-01,2076270000
1979-01-01,2374712000
1980-01-01,2507183000
1981-01-01,2731111000
1982-01-01,2643946000
1983-01-01,2553948000
1984-01-01,3218856000
1985-01-01,3658093000
1986-01-01,3833261000
1987-01-01,4758950000
1988-01-01,4781873000
1989-01-01,5062844000
1990-01-01,4928377000
1991-01-01,4440479000
1992-01-01,4518418000
1993-01-01,4727879000
1994-01-01,4633449000
1995-01-01,5747929000
1996-01-01,5831072000
1997-01-01,5803652000
1998-01-01,5587671000
1999-01-01,5459199000
2000-01-01,6638762000
2001-01-01,6899302000
2002-01-01,5333036000
2003-01-01,6803559000
2004-01-01,6925916000
2005-01-01,8670065000
2006-01-01,10316467000
2007-01-01,11157898000
2008-01-01,11849097000
2009-01-01,9535679000
2010-01-01,9114589000
2011-01-01,9613594000
2012-01-01,7949000000
2013-01-01,7462000000
2014-01-01,8858498000
2015-01-01,9007182000
2016-01-01,9902185000
2017-01-01,10112520000
2018-01-01,12488304000
2019-01-01,13792519000
2020-01-01,9817957000
2021-01-01,26097277000
2022-01-01,46005502000
2023-01-01,29936654000
2024-01-01,41408314000
