observation_date,Average rate on all imports (%)
2025-01-01,	14.5
2024-01-01,	2.5
2023-01-01,	2.4
2022-01-01,	2.8
2021-01-01,	3.0
2020-01-01,	2.8
2019-01-01,	2.7
2018-01-01,	1.8
2017-01-01,	1.4
2016-01-01,	1.5
2015-01-01,	1.5
2014-01-01,	1.4
2013-01-01,	1.4
2012-01-01,	1.3
2011-01-01,	1.3
2010-01-01,	1.4
2009-01-01,	1.4
2008-01-01,	1.2
2007-01-01,	1.3
2006-01-01,	1.4
2005-01-01,	1.4
2004-01-01,	1.5
2003-01-01,	1.6
2002-01-01,	1.7
2001-01-01,	1.6
2000-01-01,	1.6
1999-01-01,	1.8
1998-01-01,	2.0
1997-01-01,	2.1
1996-01-01,	2.3
1995-01-01,	2.5
1994-01-01,	3.0
1993-01-01,	3.2
1992-01-01,	3.3
1991-01-01,	3.4
1990-01-01,	3.3
1989-01-01,	3.4
1988-01-01,	3.4
1987-01-01,	3.5
1986-01-01,	3.6
1985-01-01,	3.8
1984-01-01,	3.7
1983-01-01,	3.7
1982-01-01,	3.6
1981-01-01,	3.4
1980-01-01,	3.1
1979-01-01,	3.5
1978-01-01,	4.0
1977-01-01,	3.7
1976-01-01,	3.9
1975-01-01,	3.9
1974-01-01,	3.8
1973-01-01,	5.0
1972-01-01,	5.7
1971-01-01,	6.1
1970-01-01,	6.5
1969-01-01,	7.1
1968-01-01,	7.1
1967-01-01,	7.5
1966-01-01,	7.6
1965-01-01,	7.6
1964-01-01,	7.4
1963-01-01,	7.4
1962-01-01,	7.6
1961-01-01,	7.2
1960-01-01,	7.2
1959-01-01,	7.1
1958-01-01,	6.5
1957-01-01,	6.0
1956-01-01,	5.9
1955-01-01,	5.9
1954-01-01,	5.4
1953-01-01,	5.5
1952-01-01,	5.3
1951-01-01,	5.6
1950-01-01,	6.1
1949-01-01,	5.7
1948-01-01,	5.9
1947-01-01,	7.9
1946-01-01,	10.3
1945-01-01,	9.6
1944-01-01,	9.9
1943-01-01,	11.6
1942-01-01,	11.6
1941-01-01,	13.6
1940-01-01,	12.5
1939-01-01,	14.4
1938-01-01,	15.5
1937-01-01,	15.6
1936-01-01,	16.8
1935-01-01,	17.5
1934-01-01,	18.4
1933-01-01,	19.8
1932-01-01,	19.6
1931-01-01,	17.8
1930-01-01,	15.8
1929-01-01,	13.5
1928-01-01,	13.3
1927-01-01,	13.8
1926-01-01,	13.4
