Date,Federal Interest Rate (%),Construction Wage ($/hour),Construction Employees (Thousands),Construction Real GDP (M$),Unemployment Rate (%),Real Investment (M$),CPI,Real Corporate Tax ($),SCE Real Energy Price ($/kWh),PG&E Real Energy Price ($/kWh),SDG&E Real Energy Price ($/kWh),Mfg Employees (Thousands),Mfg Wage ($/hour),Minimum Wage ($/hour),Producer Price Index (USA),Average Tarrif Rate(%),NetImports(GwH),StateGeneration(GwH),Real Mfg GDP (Millions of Dollars),Real GDP per Employee($)
2007-01-01,5.25,32.42,874.9,122362.8,4.9,31938.2,202.4,13534960272.05,1690.35,1698.01,1759.52,1473.4,29.5,9.1,156.4,1.3,92216.57,212692.63,219142.4,148732.46
2007-02-01,5.26,30.25,880.2,122362.8,5.0,31938.2,203.5,13461798324.63,1681.21,1688.83,1750.01,1473.5,29.41,9.05,157.7,1.3,92216.57,212692.63,219142.4,148722.36
2007-03-01,5.26,29.81,894.3,122362.8,5.0,31938.2,205.4,13337273413.15,1665.66,1673.21,1733.82,1472.0,29.2,8.96,160.1,1.3,92216.57,212692.63,219142.4,148873.91
2007-04-01,5.25,29.78,890.9,120960.6,5.1,31938.2,206.7,13253391190.43,1655.18,1662.69,1722.91,1464.8,29.52,8.91,162.2,1.3,92216.57,212692.63,227737.5,155473.44
2007-05-01,5.25,29.5,903.8,120960.6,5.1,31938.2,207.9,13176892539.98,1645.63,1653.09,1712.97,1461.3,29.35,8.86,163.8,1.3,92216.57,212692.63,227737.5,155845.82
2007-06-01,5.25,30.3,918.1,120960.6,5.2,31938.2,208.4,13145278114.5,1641.68,1649.12,1708.86,1464.3,29.05,8.84,163.7,1.3,92216.57,212692.63,227737.5,155526.53
2007-07-01,5.26,30.73,919.0,117088.4,5.3,31938.2,208.3,13151588857.71,1642.47,1649.92,1709.68,1466.8,29.18,8.84,164.9,1.3,92216.57,212692.63,239875.3,163536.47
2007-08-01,5.02,31.12,920.1,117088.4,5.4,31938.2,207.9,13176892539.98,1645.63,1653.09,1712.97,1460.4,29.1,8.86,163.0,1.3,92216.57,212692.63,239875.3,164253.15
2007-09-01,4.94,31.52,905.6,117088.4,5.6,31938.2,208.5,13138973424.76,1640.89,1648.33,1708.04,1455.2,29.14,8.83,163.7,1.3,92216.57,212692.63,239875.3,164840.09
2007-10-01,4.76,31.89,887.2,109691.2,5.7,31938.2,208.9,13113815026.63,1637.75,1645.18,1704.77,1452.6,28.97,8.81,164.5,1.3,92216.57,212692.63,252495.5,173823.14
2007-11-01,4.49,32.0,869.2,109691.2,5.7,31938.2,210.2,13032711508.38,1627.62,1635.0,1694.23,1451.1,28.87,8.76,168.0,1.3,92216.57,212692.63,252495.5,174002.83
2007-12-01,4.24,31.57,851.2,109691.2,5.8,31938.2,210.0,13045123614.58,1629.17,1636.56,1695.84,1449.3,28.94,8.77,166.9,1.3,92216.57,212692.63,252495.5,174218.93
2008-01-01,3.94,28.88,803.6,99835.7,5.9,15150.8,211.1,13781044274.48,1598.6,1595.82,1582.54,1448.3,28.9,9.3,168.5,1.2,98071.69,209367.11,246251.0,170027.62
2008-02-01,2.98,29.01,805.2,99835.7,6.0,15150.8,211.7,13741986047.91,1594.06,1591.29,1578.06,1446.0,28.76,9.28,169.6,1.2,98071.69,209367.11,246251.0,170298.06
